NCBI_Sample_Name,host_subject_id,NCBI_Sample_Title,title,host,Sample.Date,geo_loc_name,Plug_ID,env_broad_scale,lat_lon,env_medium,env_local_scale,organism,host_life_stage,host_tissue_sampled,isolation_source,samp_collect_device,samp_mat_process,size_frac,samp_size,SRA_upload,filename1,filename2
1754_HTAC,HPW176,1754_HTAC_HoloInt,Microbiome metagenome (16S sequencing) from Montipora capitata,Montipora capitata,2018-11-17,USA: Hawaii HIMB,1754,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW176_S142_L001_R1_001.fastq.gz,HPW176_S142_L001_R2_001.fastq.gz
2202_HTHC,HPW201,2202_HTHC_HoloInt,Microbiome metagenome (16S sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii HIMB,2202,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW201_S293_L001_R1_001.fastq.gz,HPW201_S293_L001_R2_001.fastq.gz
2305_HTHC,HPW316,2305_HTHC_HoloInt,Microbiome metagenome (16S sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii Reef.18,2305,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW316_S316_L001_R1_001.fastq.gz,HPW316_S316_L001_R2_001.fastq.gz
2862_ATHC,HPW224,2862_ATHC_HoloInt,Microbiome metagenome (16S sequencing) from Montipora capitata,Montipora capitata,2018-11-03,USA: Hawaii HIMB,2862,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW224_S279_L001_R1_001.fastq.gz,HPW224_S279_L001_R2_001.fastq.gz
1260_ATHC,HPW147,1260_ATHC_HoloInt,Microbiome metagenome (16S sequencing) from Montipora capitata,Montipora capitata,2018-10-20,USA: Hawaii Reef.35.36,1260,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW147_S174_L001_R1_001.fastq.gz,HPW147_S174_L001_R2_001.fastq.gz
2561_ATHC,HPW241,2561_ATHC_HoloInt,Microbiome metagenome (16S sequencing) from Montipora capitata,Montipora capitata,2018-09-22,USA: Hawaii Reef.18,2561,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW241_S198_L001_R1_001.fastq.gz,HPW241_S198_L001_R2_001.fastq.gz
1131_HTHC,HPW302,1131_HTHC_HoloInt,Microbiome metagenome (16S sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii HIMB,1131,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW302_S294_L001_R1_001.fastq.gz,HPW302_S294_L001_R2_001.fastq.gz
1732_HTHC,HPW137,1732_HTHC_HoloInt,Microbiome metagenome (16S sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Lilipuna.Fringe,1732,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW137_S149_L001_R1_001.fastq.gz,HPW137_S149_L001_R2_001.fastq.gz
2743_ATHC,HPW301,2743_ATHC_HoloInt,Microbiome metagenome (16S sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Lilipuna.Fringe,2743,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW301_S289_L001_R1_001.fastq.gz,HPW301_S289_L001_R2_001.fastq.gz
1219_ATHC,HPW183,1219_ATHC_HoloInt,Microbiome metagenome (16S sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Reef.35.36,1219,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Microbiome metagenome (16S sequencing) from ,HPW183_S131_L001_R1_001.fastq.gz,HPW183_S131_L001_R2_001.fastq.gz
