ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
11	C	C1d/C42.2	None	87	87	C1d/C42.2-C1-C3cg	332/329-1-23	0.853[0.129]/0.079[0.101]-0.051[0.027]-0.016[0.011]
19	C	C31/C17d	None	44	44	C31/C17d-C21-C21ac-C17e-C17f-C31.9	848/1158-18-1156-1146-1144-853	0.403[0.094]/0.348[0.079]-0.123[0.021]-0.042[0.011]-0.037[0.011]-0.028[0.010]-0.018[0.013]
10	C	C1d	None	20	20	C1d-noName-C42.2-C1-noName	332-3809-329-1-3810	0.740[0.038]-0.095[0.025]-0.079[0.018]-0.051[0.016]-0.035[0.012]
18	C	C31	None	18	18	C31-C17d-C21-C21ac-C31a-C17e	848-1158-18-1156-1143-1146	0.568[0.063]-0.176[0.057]-0.132[0.036]-0.055[0.018]-0.048[0.014]-0.021[0.013]
14	C	C31/C17d	None	13	13	C31/C17d-C21-C21ac-C31.9	848/1158-18-1156-853	0.473[0.120]/0.297[0.096]-0.120[0.045]-0.056[0.017]-0.054[0.038]
20	C	C1d	None	11	11	C1d	332	1.000[0.000]
12	C	C31	None	9	9	C31-C17d-C31.1-C21-C31a-noName	848-1158-850-18-1143-3811	0.608[0.080]-0.114[0.032]-0.100[0.017]-0.081[0.099]-0.061[0.011]-0.036[0.007]
13	C	C1d	None	8	8	C1d-noName-C42.2-C1	332-1402-329-1	0.865[0.025]-0.053[0.011]-0.048[0.017]-0.033[0.007]
16	C	C1d/C31/C17d	None	8	8	C1d/C31/C17d-2099_C	332/848/1158-2099	0.694[0.240]/0.141[0.141]/0.110[0.124]-0.055[0.028]
15	C	C1d	None	6	6	C1d-C31-C42.2-C1	332-848-329-1	0.830[0.032]-0.079[0.020]-0.047[0.012]-0.044[0.017]
21	C	C31	None	3	3	C31	848	1.000[0.000]
17	D	D1/D4	S. glynnii,S. trenchii	83	83	D1/D4-D6-D1ab	347/57-68-985	0.434[0.024]/0.340[0.019]-0.165[0.016]-0.060[0.008]
