Type_Profile,Domain,Phylum,Class,Order,Family,Genus
X3815_B,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Breviolum
X3816_B,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Breviolum
X3817_B,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Breviolum
X3818_B,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Breviolum
C1d,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C17d,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C42.2,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C21,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C21ac,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3809_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C3cg,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C17e,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31a,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1853_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C17f,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31.9,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1b,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1bi,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1840_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C17,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3810_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C3cw,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31.1,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1365_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1857_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31.10,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1ag,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1841_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1849_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1k,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1862_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1402_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1842_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1846_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1876_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C21k,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1861_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1844_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1875_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3811_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1855_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C3,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1872_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C45c,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2275_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1858_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1859_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C115k,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2135_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1860_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1467_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2146_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1852_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2121_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C17.2,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2119_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C3.14,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1425_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31.5,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1629_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1372_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1845_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1409_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1873_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2194_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C21.16,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1au,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2151_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1382_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C3.12,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2111_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C31b,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1697_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2104_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3827_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1854_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3821_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1843_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2206_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1839_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3838_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1856_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3822_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2186_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2115_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3839_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3842_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1445_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1863_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2868_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2099_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3023_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3823_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2132_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3837_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3851_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C1bk,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1557_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1535_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2137_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
