Type_Profile,Domain,Phylum,Class,Order,Family,Genus,Type
X10,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C1d-noName-C42.2-C1-noName
X11,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C1d/C42.2-C1-C3cg
X12,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C31-C17d-C31.1-C21-C31a-noName
X13,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C1d-noName-C42.2-C1
X14,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C31/C17d-C21-C21ac-C31.9
X15,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C1d-C31-C42.2-C1
X16,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C1d/C31/C17d-2099_C
X17,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium,D1/D4-D6-D1ab
X18,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C31-C17d-C21-C21ac-C31a-C17e
X19,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C31/C17d-C21-C21ac-C17e-C17f-C31.9
X20,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C1d
X21,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,C31
