"","Site.Name","Plug_ID","Species","ANALYSIS","Timepoint","Treatment","Tank","Temperature","CO2","Bleaching.Score","Blch.Time"
"1","Reef.11.13",1036,"Mcapitata","Physiology","4 week","ATAC",1,"Ambient","Ambient",15.6378178308795,"3 week"
"2","Reef.11.13",1036,"Mcapitata","Physiology","4 week","ATAC",1,"Ambient","Ambient",10.673572906162,"4 week"
"3","HIMB",1754,"Mcapitata","Molecular","8 week","HTAC",9,"High","Ambient",12.351008818992,"2 week"
"4","HIMB",1754,"Mcapitata","Molecular","8 week","HTAC",9,"High","Ambient",14.5981780484389,"3 week"
"5","HIMB",1754,"Mcapitata","Molecular","8 week","HTAC",9,"High","Ambient",14.1991344074619,"5 week"
"6","HIMB",1754,"Mcapitata","Molecular","8 week","HTAC",9,"High","Ambient",4.74732633178639,"6 week"
"7","HIMB",1754,"Mcapitata","Molecular","8 week","HTAC",9,"High","Ambient",-9.43581738753531,"7 week"
"8","HIMB",1754,"Mcapitata","Molecular","8 week","HTAC",9,"High","Ambient",12.9090899577884,"8 week"
"9","Reef.35.36",1038,"Mcapitata","Physiology","4 week","ATAC",1,"Ambient","Ambient",13.0288534961281,"1 week"
"10","Reef.35.36",1038,"Mcapitata","Physiology","4 week","ATAC",1,"Ambient","Ambient",11.8112162649189,"2 week"
"11","Reef.35.36",1038,"Mcapitata","Physiology","4 week","ATAC",1,"Ambient","Ambient",14.9684586170392,"3 week"
"12","Reef.35.36",1038,"Mcapitata","Physiology","4 week","ATAC",1,"Ambient","Ambient",14.033915893693,"4 week"
"13","HIMB",2202,"Pacuta","Molecular","6 week","HTHC",10,"High","High",8.08730090268463,"1 week"
"14","HIMB",2202,"Pacuta","Molecular","6 week","HTHC",10,"High","High",8.76502053471586,"2 week"
"15","HIMB",2202,"Pacuta","Molecular","6 week","HTHC",10,"High","High",-9.61925638316169,"3 week"
"16","HIMB",2202,"Pacuta","Molecular","6 week","HTHC",10,"High","High",-15.9780451288458,"4 week"
"17","HIMB",2202,"Pacuta","Molecular","6 week","HTHC",10,"High","High",-34.8034920096176,"5 week"
"18","HIMB",2202,"Pacuta","Molecular","6 week","HTHC",10,"High","High",-37.3785486369581,"6 week"
"19","Lilipuna.Fringe",1042,"Mcapitata","Physiology","6 week","ATAC",1,"Ambient","Ambient",14.6894934308027,"3 week"
"20","Lilipuna.Fringe",1042,"Mcapitata","Physiology","6 week","ATAC",1,"Ambient","Ambient",14.1063627001143,"4 week"
"21","Lilipuna.Fringe",1042,"Mcapitata","Physiology","6 week","ATAC",1,"Ambient","Ambient",14.1982771070577,"5 week"
"22","Reef.18",2305,"Pacuta","Molecular","6 week","HTHC",5,"High","High",12.5488085437876,"2 week"
"23","Reef.18",2305,"Pacuta","Molecular","6 week","HTHC",5,"High","High",14.7513752163079,"3 week"
"24","Reef.18",2305,"Pacuta","Molecular","6 week","HTHC",5,"High","High",13.1124753341428,"4 week"
"25","Reef.18",2305,"Pacuta","Molecular","6 week","HTHC",5,"High","High",-6.73182837173266,"5 week"
"26","Reef.18",2305,"Pacuta","Molecular","6 week","HTHC",5,"High","High",0.416073478154424,"6 week"
"27","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",14.5929012318633,"2 week"
"28","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",11.4464399121814,"3 week"
"29","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",14.9738557917533,"4 week"
"30","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",6.19607717555978,"5 week"
"31","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",11.7906694576321,"6 week"
"32","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",15.2289313660323,"7 week"
"33","Reef.18",1044,"Mcapitata","Physiology","8 week","ATAC",1,"Ambient","Ambient",4.23461059908608,"8 week"
"34","Reef.35.36",1045,"Pacuta","Physiology","12 week","ATAC",1,"Ambient","Ambient",0.477908770884301,"2 week"
"35","Reef.35.36",1045,"Pacuta","Physiology","12 week","ATAC",1,"Ambient","Ambient",0.553309704303036,"3 week"
