Date,Timepoint,PLUG.ID,Species,Photo.Number,Tank,Treatment,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,*all polyps excluded in outline*
20181011,Week3,1036,Montipora,8,1,ATAC,100.41,73.585,111.837,51.424,46.688,31.691,
20181018,Week4,1036,Montipora,6,1,ATAC,126.986,69.221,95.646,50.513,29.286,20.584,
20180926,Week1,1038,Montipora,6,1,ATAC,66.788,66.532,104.803,27.554,47.406,32.515,
20181003,Week2,1038,Montipora,3,1,ATAC,107.99,80.197,112.608,37.255,41.233,30.527,
20181011,Week3,1038,Montipora,7,1,ATAC,74.613,68.906,107.256,41.86,47.456,31.886,
20181018,Week4,1038,Montipora,5,1,ATAC,131.511,76.104,102.686,57.882,38.599,28.14,
20181011,Week3,1042,Montipora,8,1,ATAC,100.41,73.585,111.837,60.597,48.382,33.522,
20181018,Week4,1042,Montipora,3,1,ATAC,126.379,69.283,96.48,66.617,35.463,23.027,
20181025,Week5,1042,Montipora,4,1,ATAC,111.556,65.189,97.844,66.861,42.527,23.961,
20181003,Week2,1044,Montipora,1,1,ATAC,101.844,86.179,123.994,52.586,59.793,45.267,
20181011,Week3,1044,Montipora,1,1,ATAC,118.29,71.242,107.257,48.598,31.806,21.935,
20181018,Week4,1044,Montipora,1,1,ATAC,130.034,72.57,100.588,67.792,39.475,25.938,
20181025,Week5,1044,Montipora,1,1,ATAC,106.223,79.708,113.248,32.777,30.317,17.85,
20181102,Week6,1044,Montipora,1,1,ATAC,112.443,72.283,101.351,44.02,33.073,23.941,
20181109,Week7,1044,Montipora,5,1,ATAC,93.59,75.612,115.526,43.149,43.429,31.589,
20181116,Week8,1044,Montipora,5,1,ATAC,171.4,105.4,63.1,55.8,32.1,22.7,
20181003,Week2,1045,Pocillopora,5,1,ATAC,109.874,78.807,111.178,70.81,77.486,57.741,
20181011,Week3,1045,Pocillopora,5,1,ATAC,82.449,67.064,109.621,54.464,67.399,51.065,
20181018,Week4,1045,Pocillopora,4,1,ATAC,128.925,74.334,107.729,82.806,59.444,48.004,
20181025,Week5,1045,Pocillopora,5,1,ATAC,134.255,69.209,100.557,99.453,63.237,39.552,
20181102,Week6,1045,Pocillopora,3,1,ATAC,140.902,79.268,110.06,105.438,67.719,47.831,
20181109,Week7,1045,Pocillopora,1,1,ATAC,117.56,76.055,119.738,80.631,61.592,51.379,
20181116,Week8,1045,Pocillopora,1,1,ATAC,180.8,112,138.9,131.1,83.2,62.1,
20181123,Week9,1045,Pocillopora,16,1,ATAC,142.1,101.8,149.2,78.9,64.6,54.1,
20181130,Week10,1045,Pocillopora,3,1,ATAC,141.622,105.329,160.605,73.277,63.133,54.277,
20181207,Week11,1045,Pocillopora,36,1,ATAC,176.18,130.47,180.941,115.536,83.809,70.363,
20181214,Week12,1045,Pocillopora,1,1,ATAC,166.927,130.965,142.32,123.711,80.514,60.928,
20180926,Week1,1046,Pocillopora,9,1,ATAC,84.665,82.442,120.049,54.282,90.359,64.509,
20181003,Week2,1046,Pocillopora,7,1,ATAC,98.249,69.837,103.208,84.478,89.312,62.654,
20181011,Week3,1046,Pocillopora,2,1,ATAC,94.611,74.436,113.269,60.583,65.454,48.698,
20181018,Week4,1046,Pocillopora,6,1,ATAC,126.986,69.221,95.646,100.039,69.406,52.331,
20181003,Week2,1047,Pocillopora,1,1,ATAC,101.844,86.179,123.994,64.684,71.344,50.733,
20180926,Week1,1048,Pocillopora,6,1,ATAC,66.788,66.532,104.803,29.101,56.683,42.255,
20181003,Week2,1048,Pocillopora,5,1,ATAC,109.874,78.807,111.178,75.359,80.094,60.904,
20181011,Week3,1048,Pocillopora,5,1,ATAC,82.449,67.064,109.621,61.277,75.667,59.044,
20181018,Week4,1048,Pocillopora,7,1,ATAC,124.922,68.967,99.917,85.573,58.871,46.528,
20181025,Week5,1048,Pocillopora,6,1,ATAC,113.043,68.211,100.492,61.322,55.709,34.847,
20181102,Week6,1048,Pocillopora,2,1,ATAC,135.588,80.467,103.979,85.253,57.204,39.223,
20180926,Week1,1049,Montipora,10,1,ATAC,77.225,78.451,114.327,40.34,72.023,49.344,
20181003,Week2,1049,Montipora,4,1,ATAC,114.697,72.36,106.481,53.001,49.385,30.961,
20181011,Week3,1049,Montipora,2,1,ATAC,94.611,74.436,113.269,45.332,40.23,25.252,
20181018,Week4,1049,Montipora,5,1,ATAC,131.511,76.104,102.686,47.288,28.87,18.855,
20181025,Week5,1049,Montipora,6,1,ATAC,113.043,68.211,100.492,48.001,34.837,16.955,
20181102,Week6,1049,Montipora,1,1,ATAC,112.443,72.283,101.351,54.805,42.739,31.126,
20181109,Week7,1049,Montipora,2,1,ATAC,84.003,79.803,119.505,40.242,49.245,36.657,
20181116,Week8,1049,Montipora,1,1,ATAC,180.8,112,138.9,109.7,63.5,44.2,
20181123,Week9,1049,Montipora,17,1,ATAC,153.3,107.7,154.8,83.2,55.1,43.3,
20181130,Week10,1049,Montipora,2,1,ATAC,156.375,110.081,154.944,89.03,65.302,51.811,
20181207,Week11,1049,Montipora,37,1,ATAC,151.769,105.851,156.334,100.041,68.289,56.849,
20181214,Week12,1049,Montipora,1,1,ATAC,166.927,130.965,142.32,97.541,56.811,42.011,
20181221,Week13,1049,Montipora,20,1,ATAC,153.342,91.395,124.339,125.592,79.506,57.112,
