Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
10/18/2019,13:40:23,6,default,536216336,Gates6,0,min,67.423,µmol/L,Humid,23.134,deg,101603,µV,27.791,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242965.76,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:26,6,default,536216336,Gates6,0.05,min,67.382,µmol/L,Humid,23.145,deg,101609,µV,27.772,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242954.95,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:29,6,default,536216336,Gates6,0.1,min,67.351,µmol/L,Humid,23.143,deg,101618,µV,27.794,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242966.45,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:32,6,default,536216336,Gates6,0.15,min,67.338,µmol/L,Humid,23.148,deg,101616,µV,27.783,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242958.17,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:35,6,default,536216336,Gates6,0.2,min,67.346,µmol/L,Humid,23.148,deg,101619,µV,27.779,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242962.04,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:38,6,default,536216336,Gates6,0.25,min,67.303,µmol/L,Humid,23.149,deg,101624,µV,27.797,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242956.21,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:41,6,default,536216336,Gates6,0.3,min,67.351,µmol/L,Humid,23.152,deg,101631,µV,27.762,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242967.47,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:44,6,default,536216336,Gates6,0.35,min,67.332,µmol/L,Humid,23.153,deg,101625,µV,27.768,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242959.18,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:47,6,default,536216336,Gates6,0.4,min,67.261,µmol/L,Humid,23.156,deg,101630,µV,27.792,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242948.02,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:50,6,default,536216336,Gates6,0.45,min,67.241,µmol/L,Humid,23.158,deg,101626,µV,27.795,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242953.26,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
10/18/2019,13:40:53,6,default,536216336,Gates6,0.501,min,67.26,µmol/L,Humid,23.157,deg,101631,µV,27.789,°C,1018,hPa,34,pmil,0,40.959,deg,25.241,°C,100,µmol/L,22.247,deg,24.361,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,23.8,0,25.13,242939.14,SABD0000000003,AAV1.0.0.11,1.1.2.0,PSt7-10,170517-007,10/4/2019 11:14:21 AM,1700-00,0,no battery,V
