Well,Plug_ID
A1,1480
A2,1480
A3,2852
A4,2852
A5,1210
A6,1210
A7,2863
A8,2863
A9,1066
A10,1066
A11,1998
A12,1998
B1,2011
B2,2011
B3,1117
B4,1117
B5,1494
B6,1494
B7,2749
B8,2749
B9,1749
B10,1749
B11,2978
B12,2978
C1,1171
C2,1171
C3,2153
C4,2153
C5,2396
C6,2396
C7,1608
C8,1608
C9,2744
C10,2744
C11,3002
C12,3002
D1,1426
D2,1426
D3,1438
D4,1438
D5,1761
D6,1761
D7,1774
D8,1774
D9,1284
D10,1284
D11,1272
D12,1272
E1,2398
E2,2398
E3,1758
E4,1758
E5,1643
E6,1643
E7,1725
E8,1725
E9,1247
E10,1247
E11,2211
E12,2211
F1,2004
F2,2004
F3,2279
F4,2279
F5,1585
F6,1585
F7,2552
F8,2552
F9,1578
F10,1578
F11,2529
F12,2529
G1,1337
G2,1337
G3,1679
G4,1679
G5,1197
G6,1197
G7,1316
G8,1316
G9,2826
G10,2826
G11,2869
G12,2869
H1,1099
H2,1099
H3,3000
H4,3000
H5,2378
H6,2378
H7,1597
H8,1597
H9,2044
H10,2044
H11,1638
H12,1638
