Well,490:490
A1,0.049
B1,0.047
C1,0.044
D1,0.045
E1,0.046
F1,0.046
G1,0.045
H1,0.045
A2,0.048
B2,0.046
C2,0.045
D2,0.045
E2,0.045
F2,0.045
G2,0.045
H2,0.044
A3,0.049
B3,0.053
C3,0.045
D3,0.045
E3,0.045
F3,0.045
G3,0.045
H3,0.045
A4,0.049
B4,0.053
C4,0.045
D4,0.045
E4,0.045
F4,0.045
G4,0.044
H4,0.045
A5,0.048
B5,0.047
C5,0.045
D5,0.045
E5,0.045
F5,0.045
G5,0.045
H5,0.044
A6,0.048
B6,0.047
C6,0.046
D6,0.045
E6,0.045
F6,0.045
G6,0.045
H6,0.044
A7,0.053
B7,0.045
C7,0.046
D7,0.045
E7,0.045
F7,0.045
G7,0.045
H7,0.044
A8,0.052
B8,0.045
C8,0.045
D8,0.045
E8,0.045
F8,0.045
G8,0.045
H8,0.044
A9,0.048
B9,0.045
C9,0.045
D9,0.045
E9,0.045
F9,0.045
G9,0.045
H9,0.047
A10,0.048
B10,0.045
C10,0.045
D10,0.045
E10,0.045
F10,0.045
G10,0.045
H10,0.045
A11,0.05
B11,0.044
C11,0.045
D11,0.045
E11,0.045
F11,0.045
G11,0.045
H11,0.044
A12,0.049
B12,0.045
C12,0.044
D12,0.046
E12,0.045
F12,0.046
G12,0.044
H12,0.046
