Well,Plug_ID
A1,1295
A2,1295
A3,2297
A4,2297
A5,1117
A6,1117
A7,1494
A8,1494
A9,2279
A10,2279
A11,2211
A12,2211
B1,2749
B2,2749
B3,1578
B4,1578
B5,1761
B6,1761
B7,2552
B8,2552
B9,1774
B10,1774
B11,1284
B12,1284
C1,1998
C2,1998
C3,1171
C4,1171
C5,2852
C6,2852
C7,2978
C8,2978
C9,1272
C10,1272
C11,1608
C12,1608
D1,1438
D2,1438
D3,1099
D4,1099
D5,1337
D6,1337
D7,1643
D8,1643
D9,1480
D10,1480
D11,2398
D12,2398
E1,1679
E2,1679
E3,2744
E4,2744
E5,1426
E6,1426
E7,2396
E8,2396
E9,1749
E10,1749
E11,1638
E12,1638
F1,2378
F2,2378
F3,3000
F4,3000
F5,1197
F6,1197
F7,2004
F8,2004
F9,1758
F10,1758
F11,1247
F12,1247
G1,3002
G2,3002
G3,2826
G4,2826
G5,1066
G6,1066
G7,2011
G8,2011
G9,2044
G10,2044
G11,2153
G12,2153
H1,2869
H2,2869
H3,2529
H4,2529
H5,1725
H6,1725
H7,1210
H8,1210
H9,2863
H10,2863
H11,1597
H12,1597
