Well,490:490
A1,0.041
B1,0.041
C1,0.049
D1,0.047
E1,0.049
F1,0.049
G1,0.052
H1,0.049
A2,0.044
B2,0.045
C2,0.049
D2,0.046
E2,0.049
F2,0.05
G2,0.046
H2,0.049
A3,0.04
B3,0.04
C3,0.044
D3,0.046
E3,0.044
F3,0.055
G3,0.05
H3,0.047
A4,0.041
B4,0.04
C4,0.044
D4,0.046
E4,0.049
F4,0.055
G4,0.051
H4,0.047
A5,0.04
B5,0.043
C5,0.061
D5,0.046
E5,0.05
F5,0.044
G5,0.052
H5,0.053
A6,0.041
B6,0.04
C6,0.058
D6,0.044
E6,0.049
F6,0.045
G6,0.051
H6,0.055
A7,0.041
B7,0.041
C7,0.06
D7,0.042
E7,0.044
F7,0.073
G7,0.056
H7,0.048
A8,0.042
B8,0.04
C8,0.061
D8,0.043
E8,0.044
F8,0.076
G8,0.056
H8,0.049
A9,0.04
B9,0.044
C9,0.048
D9,0.061
E9,0.055
F9,0.046
G9,0.045
H9,0.049
A10,0.051
B10,0.045
C10,0.05
D10,0.059
E10,0.056
F10,0.046
G10,0.045
H10,0.051
A11,0.046
B11,0.048
C11,0.045
D11,0.05
E11,0.055
F11,0.045
G11,0.05
H11,0.044
A12,0.041
B12,0.049
C12,0.044
D12,0.051
E12,0.054
F12,0.046
G12,0.05
H12,0.045
