Species,Plug_ID,Count1,Count2,Count3
Mcapitata,1036,,,
Mcapitata,1038,,,
Mcapitata,1042,,,
Mcapitata,1044,,,
Pacuta,1045,,,
Pacuta,1046,,,
Pacuta,1048,,,
Mcapitata,1052,,,
Pacuta,1054,,,
Mcapitata,1061,,,
Mcapitata,1063,,,
Mcapitata,1065,,,
Mcapitata,1066,,,
Mcapitata,1067,,,
Pacuta,1075,,,
Pacuta,1077,,,
Pacuta,1080,,,
Pacuta,1084,,,
Mcapitata,1085,,,
Pacuta,1086,,,
Pacuta,1088,,,
Mcapitata,1091,,,
Mcapitata,1092,,,
Pacuta,1094,,,
Pacuta,1098,,,
Mcapitata,1099,,,
Pacuta,1100,,,
Mcapitata,1102,,,
Mcapitata,1104,,,
Pacuta,1111,,,
Pacuta,1116,,,
Mcapitata,1117,,,
Pacuta,1118,,,
Mcapitata,1122,,,
Mcapitata,1127,,,
Pacuta,1130,,,
Mcapitata,1133,,,
Mcapitata,1135,,,
Mcapitata,1136,,,
Mcapitata,1142,,,
Mcapitata,1146,,,
Pacuta,1149,,,
Pacuta,1156,,,
Mcapitata,1162,,,
Mcapitata,1163,,,
Pacuta,1165,,,
Mcapitata,1166,,,
Pacuta,1170,,,
Mcapitata,1171,,,
Pacuta,1174,,,
Mcapitata,1175,,,
Pacuta,1180,,,
Pacuta,1181,,,
Mcapitata,1182,,,
Mcapitata,1185,,,
Pacuta,1187,,,
Pacuta,1188,,,
Mcapitata,1189,,,
Pacuta,1191,,,
Pacuta,1194,,,
Mcapitata,1197,,,
Mcapitata,1208,,,
Mcapitata,1210,,,
Pacuta,1211,,,
Pacuta,1213,,,
Pacuta,1214,,,
Pacuta,1215,,,
Mcapitata,1216,,,
Pacuta,1217,,,
Pacuta,1222,,,
Pacuta,1224,,,
Mcapitata,1226,,,
Pacuta,1228,,,
Mcapitata,1232,,,
Pacuta,1233,,,
Mcapitata,1234,,,
Pacuta,1240,,,
Mcapitata,1241,,,
Mcapitata,1242,,,
Mcapitata,1243,,,
Pacuta,1247,,,
Pacuta,1249,,,
Pacuta,1252,,,
Pacuta,1253,,,
Pacuta,1256,,,
Pacuta,1258,,,
Mcapitata,1264,,,
Mcapitata,1265,,,
Pacuta,1271,,,
Mcapitata,1272,,,
Mcapitata,1273,,,
Pacuta,1275,,,
Mcapitata,1284,,,
Mcapitata,1285,,,
Mcapitata,1286,,,
Pacuta,1288,,,
Pacuta,1294,,,
Mcapitata,1295,,,
Mcapitata,1297,,,
Pacuta,1298,,,
Mcapitata,1299,,,
Mcapitata,1300,,,
Mcapitata,1304,,,
Mcapitata,1305,,,
Mcapitata,1309,,,
Pacuta,1311,,,
Mcapitata,1316,,,
Mcapitata,1318,,,
Pacuta,1319,,,
Pacuta,1324,,,
Mcapitata,1325,,,
Pacuta,1326,,,
Pacuta,1327,,,
Mcapitata,1333,,,
Pacuta,1336,,,
Mcapitata,1337,,,
Pacuta,1338,,,
Pacuta,1339,,,
Pacuta,1344,,,
Mcapitata,1353,,,
Mcapitata,1409,,,
Mcapitata,1410,,,
Pacuta,1411,,,
Pacuta,1412,,,
Mcapitata,1413,,,
Pacuta,1414,,,
Pacuta,1422,,,
Pacuta,1423,,,
Mcapitata,1426,,,
Pacuta,1430,,,
Pacuta,1432,,,
Pacuta,1434,,,
Pacuta,1437,,,
Mcapitata,1438,,,
Pacuta,1439,,,
Pacuta,1441,,,
Mcapitata,1443,,,
Mcapitata,1444,,,
Pacuta,1446,,,
Mcapitata,1447,,,
Mcapitata,1448,,,
Mcapitata,1454,,,
Pacuta,1456,,,
Mcapitata,1461,,,
Mcapitata,1469,,,
Mcapitata,1470,,,
Pacuta,1472,,,
Pacuta,1473,,,
Mcapitata,1479,,,
Mcapitata,1480,,,
Pacuta,1482,,,
Mcapitata,1483,,,
Pacuta,1484,,,
Pacuta,1488,,,
Mcapitata,1489,,,
Pacuta,1490,,,
Pacuta,1491,,,
Pacuta,1492,,,
Mcapitata,1494,,,
Pacuta,1495,,,
Mcapitata,1498,,,
Pacuta,1500,,,
