Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,0:17,375.1,2,9.12,394.1,2,9.03,1011.6,27,102.3,26.425,35.15,378.5,397.7,364.2,382.6,-18.5,365.3,383.8,-18.5
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,1:17,388.1,2,9.17,394,2,9.07,1010.8,27.2,102.81,26.335,35.146,391.7,397.6,376.5,382.3,-5.7,377.7,383.5,-5.7
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,2:17,403.7,2,9.23,394,2,9.13,1010.5,27.2,103.04,26.202,35.152,407.5,397.6,391.7,382.3,9.5,393,383.5,9.5
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,3:17,408.6,2,9.18,393.7,2,9.03,1010.7,27.3,103.09,26.196,35.158,412.4,397.3,396.5,382,14.6,397.8,383.2,14.6
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,4:17,426,2,8.9,393.9,2,8.76,1011.1,27.3,103.07,26.104,35.147,429.9,397.4,413.6,382.3,31.2,414.9,383.5,31.3
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,5:17,462.9,2,8.53,394.7,2,8.48,1011.7,27.3,102.67,26.026,35.12,466.9,398.1,449.5,383.3,66.2,450.9,384.5,66.4
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,6:17,429.1,2,8.5,394.7,2,8.47,1012.5,27.3,103.21,26.061,35.189,432.8,398.1,417,383.6,33.4,418.3,384.8,33.5
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,7:17,413,2,8.53,394,2,8.5,1013.2,27.3,102.41,26.099,35.188,416.5,397.4,401.6,383.1,18.5,402.9,384.4,18.5
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,8:17,406.3,2,8.56,394.1,2,8.54,1013.7,27.2,101.84,25.779,35.182,409.8,397.5,395.6,383.7,11.9,396.8,384.9,11.9
CRIMP2_158W_21N,21.458,-157.798,6/7/2013,9:17,416.8,2,8.54,394.1,2,8.52,1013.8,27.2,101.21,25.185,35.19,420.4,397.5,406.3,384.2,22.1,407.6,385.4,22.2
