Date,Analysis,Plug_ID,Day
20180922,Molecular,1037,1
20180922,Molecular,1041,1
20180922,Molecular,1043,1
20180922,Molecular,1060,1
20180922,Molecular,1101,1
20180922,Molecular,1108,1
20180922,Molecular,1124,1
20180922,Molecular,1128,1
20180922,Molecular,1145,1
20180922,Molecular,1169,1
20180922,Molecular,1207,1
20180922,Molecular,1218,1
20180922,Molecular,1219,1
20180922,Molecular,1220,1
20180922,Molecular,1221,1
20180922,Molecular,1227,1
20180922,Molecular,1239,1
20180922,Molecular,1269,1
20180922,Molecular,1277,1
20180922,Molecular,1289,1
20180922,Molecular,1323,1
20180922,Molecular,1328,1
20180922,Molecular,1343,1
20180922,Molecular,1418,1
20180922,Molecular,1471,1
20180922,Molecular,1481,1
20180922,Molecular,1544,1
20180922,Molecular,1548,1
20180922,Molecular,1579,1
20180922,Molecular,1581,1
20180922,Molecular,1600,1
20180922,Molecular,1609,1
20180922,Molecular,1617,1
20180922,Molecular,1628,1
20180922,Molecular,1637,1
20180922,Molecular,1642,1
20180922,Molecular,1651,1
20180922,Molecular,1652,1
20180922,Molecular,1653,1
20180922,Molecular,1676,1
20180922,Molecular,1701,1
20180922,Molecular,1751,1
20180922,Molecular,1762,1
20180922,Molecular,1767,1
20180922,Molecular,1775,1
20180922,Molecular,1826,1
20180922,Molecular,2000,1
20180922,Molecular,2002,1
20180922,Molecular,2005,1
20180922,Molecular,2021,1
20180922,Molecular,2026,1
20180922,Molecular,2068,1
20180922,Molecular,2081,1
20180922,Molecular,2183,1
20180922,Molecular,2195,1
20180922,Molecular,2204,1
20180922,Molecular,2210,1
20180922,Molecular,2363,1
20180922,Molecular,2414,1
20180922,Molecular,2518,1
20180922,Molecular,2527,1
20180922,Molecular,2534,1
20180922,Molecular,2561,1
20180922,Molecular,2731,1
20180922,Molecular,2733,1
20180922,Molecular,2734,1
20180922,Molecular,2743,1
20180922,Molecular,2750,1
20180922,Molecular,2866,1
20180922,Molecular,2977,1
20180922,Molecular,2993,1
20180922,Molecular,1236,1
20180922,Molecular,1079,1
20180922,Molecular,1110,1
20180922,Molecular,1143,1
20180922,Molecular,1157,1
20180922,Molecular,1244,1
20180922,Molecular,1262,1
20180922,Molecular,1276,1
20180922,Molecular,1314,1
20180922,Molecular,1428,1
20180922,Molecular,1442,1
20180922,Molecular,1497,1
20180922,Molecular,1539,1
20180922,Molecular,1577,1
20180922,Molecular,1633,1
20180922,Molecular,1682,1
20180922,Molecular,1726,1
20180922,Molecular,1750,1
20180922,Molecular,1999,1
20180922,Molecular,2076,1
20180922,Molecular,2180,1
20180922,Molecular,2194,1
20180922,Molecular,2526,1
20180922,Molecular,2747,1
20180922,Molecular,2754,1
20180922,Physiology,1066,1
20180922,Physiology,1098,1
20180922,Physiology,1100,1
20180922,Physiology,1116,1
20180922,Physiology,1146,1
20180922,Physiology,1163,1
20180922,Physiology,1175,1
20180922,Physiology,1211,1
20180922,Physiology,1213,1
20180922,Physiology,1232,1
20180922,Physiology,1253,1
20180922,Physiology,1305,1
20180922,Physiology,1311,1
20180922,Physiology,1426,1
20180922,Physiology,1488,1
20180922,Physiology,1549,1
20180922,Physiology,1585,1
20180922,Physiology,1602,1
20180922,Physiology,1620,1
20180922,Physiology,1640,1
20180922,Physiology,1741,1
20180922,Physiology,1770,1
20180922,Physiology,2001,1
20180922,Physiology,2153,1
20180923,Molecular,1059,2
20180923,Molecular,1168,2
20180923,Molecular,1196,2
20180923,Molecular,1229,2
20180923,Molecular,1296,2
20180923,Molecular,1303,2
20180923,Molecular,1321,2
20180923,Molecular,1345,2
20180923,Molecular,1415,2
20180923,Molecular,1449,2
20180923,Molecular,1563,2
20180923,Molecular,1571,2
20180923,Molecular,1583,2
20180923,Molecular,1610,2
20180923,Molecular,1694,2
20180923,Molecular,1706,2
20180923,Molecular,1707,2
20180923,Molecular,1757,2
20180923,Molecular,1776,2
20180923,Molecular,1997,2
20180923,Molecular,2087,2
20180923,Molecular,2212,2
20180923,Molecular,2877,2
20180923,Molecular,2986,2
20180923,Physiology,1077,2
20180923,Physiology,1104,2
20180923,Physiology,1180,2
20180923,Physiology,1182,2
20180923,Physiology,1187,2
20180923,Physiology,1188,2
20180923,Physiology,1197,2
20180923,Physiology,1242,2
20180923,Physiology,1252,2
20180923,Physiology,1265,2
20180923,Physiology,1271,2
20180923,Physiology,1299,2
20180923,Physiology,1304,2
20180923,Physiology,1324,2
20180923,Physiology,1336,2
20180923,Physiology,1339,2
20180923,Physiology,1430,2
20180923,Physiology,1437,2
20180923,Physiology,1470,2
20180923,Physiology,1479,2
20180923,Physiology,1491,2
20180923,Physiology,1560,2
20180923,Physiology,1564,2
20180923,Physiology,1570,2
20180923,Physiology,1574,2
20180923,Physiology,1650,2
20180923,Physiology,1655,2
20180923,Physiology,1687,2
20180923,Physiology,1691,2
20180923,Physiology,1708,2
20180923,Physiology,1735,2
20180923,Physiology,1825,2
20180923,Physiology,2008,2
20180923,Physiology,2297,2
20180923,Physiology,2360,2
20180923,Physiology,2378,2
20180923,Physiology,2384,2
20180923,Physiology,2512,2
20180923,Physiology,2522,2
20180923,Physiology,2523,2
20180923,Physiology,2529,2
20180923,Physiology,2531,2
20180923,Physiology,2535,2
20180923,Physiology,2752,2
20180923,Physiology,2880,2
20180923,Physiology,2976,2
20180923,Physiology,3003,2
20180923,Physiology,1061,2
