Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-3.6,,26.6,,
1,0.0005,-5.0,0.0005,26.6,-1.4,
2,0.0020,-5.3,0.0015,26.6,-0.3,
3,0.0045,-5.7,0.0025,26.6,-0.4,
4,0.0085,-6.0,0.0040,26.6,-0.3,
5,0.0145,-6.3,0.0060,26.6,-0.3,
6,0.0230,-6.5,0.0085,26.6,-0.2,
7,0.0315,-6.4,0.0085,26.6,0.1,
8,0.0390,-6.5,0.0075,26.6,-0.1,
9,0.0475,-6.2,0.0085,26.6,0.3,
10,0.0560,-5.7,0.0085,26.6,0.5,
11,0.0645,-5.0,0.0085,26.6,0.7,
12,0.0730,-4.3,0.0085,26.6,0.7,
13,0.0815,-3.7,0.0085,26.6,0.6,
14,0.0900,-3.0,0.0085,26.6,0.7,
15,0.0975,-2.3,0.0075,26.6,0.7,
16,0.1060,-1.5,0.0085,26.6,0.8,
17,0.1145,-0.5,0.0085,26.6,1.0,
18,0.1230,-0.8,0.0085,26.6,-0.3,
19,0.1315,-0.3,0.0085,26.6,0.5,
20,0.1400,0.6,0.0085,26.6,0.9,
21,0.1475,2.0,0.0075,26.6,1.4,
22,0.1560,2.8,0.0085,26.6,0.8,
23,0.1645,3.5,0.0085,26.6,0.7,
24,0.1730,4.2,0.0085,26.6,0.7,
25,0.1815,4.8,0.0085,26.6,0.6,
26,0.1900,5.4,0.0085,26.5,0.6,
27,0.1975,5.8,0.0075,26.5,0.4,
28,0.2060,6.4,0.0085,26.6,0.6,
29,0.2145,7.2,0.0085,26.6,0.8,
30,0.2230,8.0,0.0085,26.5,0.8,
31,0.2315,8.8,0.0085,26.5,0.8,
32,0.2400,9.5,0.0085,26.6,0.7,
33,0.2485,10.3,0.0085,26.5,0.8,
34,0.2560,11.0,0.0075,26.5,0.7,
35,0.2645,11.6,0.0085,26.5,0.6,
36,0.2730,12.2,0.0085,26.5,0.6,
37,0.2815,12.8,0.0085,26.5,0.6,
38,0.2900,13.4,0.0085,26.5,0.6,
39,0.2980,13.8,0.0080,26.5,0.4,
40,0.3060,14.3,0.0080,26.5,0.5,
41,0.3145,14.8,0.0085,26.5,0.5,
42,0.3230,15.3,0.0085,26.5,0.5,
43,0.3315,15.8,0.0085,26.5,0.5,
44,0.3400,16.3,0.0085,26.5,0.5,
45,0.3485,16.8,0.0085,26.5,0.5,
46,0.3565,17.1,0.0080,26.5,0.3,
47,0.3645,17.6,0.0080,26.5,0.5,
48,0.3730,18.1,0.0085,26.5,0.5,
49,0.3815,18.5,0.0085,26.5,0.4,
50,0.3900,19.0,0.0085,26.5,0.5,
51,0.3985,19.5,0.0085,26.5,0.5,
52,0.4070,19.9,0.0085,26.5,0.4,
53,0.4145,20.4,0.0075,26.5,0.5,
54,0.4230,20.8,0.0085,26.5,0.4,
55,0.4315,21.3,0.0085,26.5,0.5,
56,0.4400,21.7,0.0085,26.5,0.4,
57,0.4485,22.1,0.0085,26.5,0.4,
58,0.4570,22.6,0.0085,26.5,0.5,
59,0.4645,23.1,0.0075,26.5,0.5,
60,0.4730,23.5,0.0085,26.5,0.4,
61,0.4815,24.0,0.0085,26.5,0.5,
62,0.4900,24.4,0.0085,26.5,0.4,
63,0.4985,24.9,0.0085,26.5,0.5,
64,0.5070,25.3,0.0085,26.5,0.4,
65,0.5155,25.6,0.0085,26.5,0.3,
66,0.5230,26.1,0.0075,26.5,0.5,
67,0.5315,26.6,0.0085,26.5,0.5,
68,0.5400,27.0,0.0085,26.5,0.4,
69,0.5485,27.4,0.0085,26.5,0.4,
70,0.5570,27.9,0.0085,26.5,0.5,
71,0.5655,28.3,0.0085,26.5,0.4,
72,0.5730,28.8,0.0075,26.5,0.5,
73,0.5815,29.3,0.0085,26.5,0.5,
74,0.5900,29.7,0.0085,26.5,0.4,
75,0.5985,30.2,0.0085,26.5,0.5,
76,0.6070,30.6,0.0085,26.5,0.4,
77,0.6150,31.1,0.0080,26.5,0.5,
78,0.6230,31.5,0.0080,26.5,0.4,
79,0.6315,32.0,0.0085,26.5,0.5,
80,0.6400,32.4,0.0085,26.5,0.4,
81,0.6485,32.9,0.0085,26.5,0.5,
82,0.6570,33.4,0.0085,26.5,0.5,
83,0.6650,33.8,0.0080,26.5,0.4,
84,0.6735,34.2,0.0085,26.5,0.4,
85,0.6815,34.7,0.0080,26.5,0.5,
86,0.6900,35.2,0.0085,26.5,0.5,
87,0.6985,35.6,0.0085,26.5,0.4,
88,0.7065,36.2,0.0080,26.5,0.6,
89,0.7150,36.7,0.0085,26.4,0.5,
90,0.7235,37.2,0.0085,26.4,0.5,
91,0.7315,37.7,0.0080,26.4,0.5,
92,0.7400,38.2,0.0085,26.5,0.5,
93,0.7485,38.7,0.0085,26.5,0.5,
94,0.7565,39.2,0.0080,26.4,0.5,
95,0.7650,39.7,0.0085,26.4,0.5,
96,0.7735,40.3,0.0085,26.5,0.6,
97,0.7820,40.7,0.0085,26.5,0.4,
98,0.7900,41.2,0.0080,26.4,0.5,
99,0.7985,41.8,0.0085,26.4,0.6,
100,0.8065,42.3,0.0080,26.4,0.5,
101,0.8150,42.9,0.0085,26.4,0.6,
102,0.8235,43.5,0.0085,26.4,0.6,
103,0.8320,44.0,0.0085,26.4,0.5,
104,0.8400,44.6,0.0080,26.4,0.6,
105,0.8485,45.2,0.0085,26.4,0.6,
106,0.8565,45.8,0.0080,26.4,0.6,
107,0.8650,46.3,0.0085,26.4,0.5,
108,0.8735,46.9,0.0085,26.4,0.6,
109,0.8820,47.5,0.0085,26.4,0.6,
110,0.8905,48.1,0.0085,26.4,0.6,
111,0.8985,48.7,0.0080,26.4,0.6,
112,0.9065,49.4,0.0080,26.4,0.7,
113,0.9150,50.0,0.0085,26.4,0.6,
114,0.9235,50.7,0.0085,26.4,0.7,
115,0.9320,51.4,0.0085,26.4,0.7,
116,0.9405,52.1,0.0085,26.4,0.7,
117,0.9485,52.8,0.0080,26.4,0.7,
118,0.9570,53.5,0.0085,26.4,0.7,
119,0.9650,54.3,0.0080,26.4,0.8,
120,0.9735,55.0,0.0085,26.4,0.7,
121,0.9820,55.7,0.0085,26.4,0.7,
122,0.9905,56.5,0.0085,26.4,0.8,
123,0.9985,57.2,0.0080,26.4,0.7,
124,1.0070,58.0,0.0085,26.4,0.8,
125,1.0150,58.8,0.0080,26.4,0.8,
126,1.0235,59.7,0.0085,26.4,0.9,
127,1.0320,60.5,0.0085,26.4,0.8,
128,1.0405,61.5,0.0085,26.4,1.0,
129,1.0490,62.3,0.0085,26.4,0.8,
130,1.0570,63.3,0.0080,26.4,1.0,
131,1.0655,64.3,0.0085,26.4,1.0,
132,1.0735,65.3,0.0080,26.4,1.0,
133,1.0820,66.4,0.0085,26.4,1.1,
134,1.0905,67.4,0.0085,26.4,1.0,
135,1.0990,68.4,0.0085,26.4,1.0,
136,1.1070,69.6,0.0080,26.4,1.2,
137,1.1155,70.8,0.0085,26.4,1.2,
138,1.1240,72.1,0.0085,26.4,1.3,
139,1.1320,73.4,0.0080,26.4,1.3,
140,1.1405,74.8,0.0085,26.4,1.4,
141,1.1490,76.3,0.0085,26.4,1.5,
142,1.1570,77.6,0.0080,26.4,1.3,
143,1.1655,79.2,0.0085,26.4,1.6,
144,1.1740,80.8,0.0085,26.4,1.6,
145,1.1825,82.6,0.0085,26.4,1.8,
146,1.1905,84.4,0.0080,26.4,1.8,
147,1.1990,86.4,0.0085,26.4,2.0,
148,1.2070,88.3,0.0080,26.4,1.9,
149,1.2155,90.6,0.0085,26.4,2.3,
150,1.2240,93.2,0.0085,26.4,2.6,
151,1.2325,95.8,0.0085,26.4,2.6,
152,1.2405,98.5,0.0080,26.4,2.7,
153,1.2490,101.6,0.0085,26.4,3.1,
154,1.2575,104.6,0.0085,26.4,3.0,
155,1.2655,108.4,0.0080,26.3,3.8,
156,1.2740,112.5,0.0085,26.3,4.1,
157,1.2825,116.8,0.0085,26.3,4.3,
158,1.2910,121.2,0.0085,26.4,4.4,
159,1.2990,125.7,0.0080,26.4,4.5,
160,1.3075,130.4,0.0085,26.3,4.7,
