Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-6.0,,26.1,,
1,0.0010,-7.6,0.0010,26.1,-1.6,
2,0.0020,-7.7,0.0010,26.1,-0.1,
3,0.0050,-7.9,0.0030,26.1,-0.2,
4,0.0085,-8.2,0.0035,26.1,-0.3,
5,0.0145,-8.3,0.0060,26.1,-0.1,
6,0.0230,-8.2,0.0085,26.0,0.1,
7,0.0315,-8.2,0.0085,26.1,0.0,
8,0.0390,-8.0,0.0075,26.1,0.2,
9,0.0475,-7.7,0.0085,26.1,0.3,
10,0.0560,-7.3,0.0085,26.1,0.4,
11,0.0645,-7.0,0.0085,26.1,0.3,
12,0.0730,-6.5,0.0085,26.1,0.5,
13,0.0815,-5.6,0.0085,26.1,0.9,
14,0.0900,-5.1,0.0085,26.0,0.5,
15,0.0975,-4.5,0.0075,26.0,0.6,
16,0.1060,-3.8,0.0085,26.1,0.7,
17,0.1145,-3.3,0.0085,26.0,0.5,
18,0.1230,-2.8,0.0085,26.0,0.5,
19,0.1315,-2.4,0.0085,26.0,0.4,
20,0.1400,-1.8,0.0085,26.0,0.6,
21,0.1475,-1.3,0.0075,26.0,0.5,
22,0.1560,-0.7,0.0085,26.0,0.6,
23,0.1645,-0.4,0.0085,26.0,0.3,
24,0.1730,-1.1,0.0085,26.0,-0.7,
25,0.1815,-0.8,0.0085,26.0,0.3,
26,0.1900,-0.4,0.0085,26.0,0.4,
27,0.1975,-0.1,0.0075,26.0,0.3,
28,0.2060,0.2,0.0085,26.0,0.3,
29,0.2145,0.6,0.0085,26.0,0.4,
30,0.2230,1.2,0.0085,26.0,0.6,
31,0.2315,2.6,0.0085,26.0,1.4,
32,0.2400,2.4,0.0085,26.0,-0.2,
33,0.2475,2.9,0.0075,26.0,0.5,
34,0.2560,3.3,0.0085,26.0,0.4,
35,0.2645,3.7,0.0085,26.0,0.4,
36,0.2730,4.1,0.0085,26.0,0.4,
37,0.2815,4.5,0.0085,26.0,0.4,
38,0.2900,5.0,0.0085,26.0,0.5,
39,0.2975,5.2,0.0075,26.0,0.2,
40,0.3060,5.5,0.0085,26.0,0.3,
41,0.3145,5.8,0.0085,26.0,0.3,
42,0.3230,6.1,0.0085,26.0,0.3,
43,0.3315,6.7,0.0085,26.0,0.6,
44,0.3400,7.1,0.0085,26.0,0.4,
45,0.3485,7.7,0.0085,26.0,0.6,
46,0.3560,8.5,0.0075,26.0,0.8,
47,0.3645,9.0,0.0085,26.0,0.5,
48,0.3730,9.5,0.0085,26.0,0.5,
49,0.3815,10.2,0.0085,26.0,0.7,
50,0.3900,10.9,0.0085,26.0,0.7,
51,0.3985,11.6,0.0085,26.0,0.7,
52,0.4060,12.0,0.0075,26.0,0.4,
53,0.4145,12.7,0.0085,26.0,0.7,
54,0.4230,13.3,0.0085,26.0,0.6,
55,0.4315,14.0,0.0085,26.0,0.7,
56,0.4400,14.7,0.0085,26.0,0.7,
57,0.4485,15.4,0.0085,26.0,0.7,
58,0.4560,16.0,0.0075,26.0,0.6,
59,0.4645,16.8,0.0085,26.0,0.8,
60,0.4730,17.5,0.0085,26.0,0.7,
61,0.4815,18.3,0.0085,26.0,0.8,
62,0.4900,19.1,0.0085,26.0,0.8,
63,0.4985,19.9,0.0085,26.0,0.8,
64,0.5070,20.6,0.0085,26.0,0.7,
65,0.5145,21.5,0.0075,26.0,0.9,
66,0.5230,22.4,0.0085,26.0,0.9,
67,0.5315,23.4,0.0085,26.0,1.0,
68,0.5400,24.4,0.0085,26.0,1.0,
69,0.5485,25.6,0.0085,26.0,1.2,
70,0.5570,26.7,0.0085,26.0,1.1,
71,0.5645,27.8,0.0075,26.0,1.1,
72,0.5730,29.2,0.0085,26.0,1.4,
73,0.5815,30.7,0.0085,26.0,1.5,
74,0.5900,32.5,0.0085,26.0,1.8,
75,0.5985,34.3,0.0085,26.0,1.8,
76,0.6070,36.4,0.0085,26.0,2.1,
77,0.6145,38.4,0.0075,26.0,2.0,
78,0.6230,41.3,0.0085,26.0,2.9,
79,0.6315,44.4,0.0085,26.0,3.1,
80,0.6400,48.8,0.0085,26.0,4.4,
81,0.6485,53.9,0.0085,26.0,5.1,
82,0.6570,59.8,0.0085,26.0,5.9,
83,0.6655,66.9,0.0085,26.0,7.1,
84,0.6730,74.3,0.0075,26.0,7.4,
85,0.6815,83.2,0.0085,26.0,8.9,
86,0.6900,92.4,0.0085,26.0,9.2,
87,0.6985,102.3,0.0085,26.0,9.9,
88,0.7070,112.0,0.0085,26.0,9.7,
89,0.7155,121.1,0.0085,26.0,9.1,
90,0.7230,129.1,0.0075,26.0,8.0,
91,0.7315,137.0,0.0085,26.0,7.9,
92,0.7400,144.1,0.0085,26.0,7.1,
93,0.7485,150.3,0.0085,26.0,6.2,
94,0.7570,155.8,0.0085,26.0,5.5,
95,0.7655,160.5,0.0085,26.0,4.7,
96,0.7740,164.2,0.0085,26.0,3.7,
97,0.7815,167.7,0.0075,26.0,3.5,
98,0.7900,170.7,0.0085,26.0,3.0,
99,0.7985,173.6,0.0085,26.0,2.9,
100,0.8070,176.6,0.0085,26.0,3.0,
101,0.8155,179.1,0.0085,26.0,2.5,
102,0.8240,181.4,0.0085,26.0,2.3,
103,0.8315,183.3,0.0075,26.0,1.9,
104,0.8420,185.2,0.0105,26.0,1.9,
344,0.8420,204.5,0.0000,25.8,19.3,
346,0.8430,204.5,0.0010,25.8,0.0,
346,0.8445,204.5,0.0015,25.8,0.0,
348,0.8470,204.5,0.0025,25.8,0.0,
348,0.8510,204.5,0.0040,25.8,0.0,
350,0.8570,204.9,0.0060,25.8,0.4,
350,0.8655,205.5,0.0085,25.8,0.6,
352,0.8740,206.3,0.0085,25.8,0.8,
353,0.8825,207.1,0.0085,25.8,0.8,
353,0.8905,207.9,0.0080,25.8,0.8,
354,0.8990,208.7,0.0085,25.8,0.8,
356,0.9070,209.4,0.0080,25.8,0.7,
356,0.9155,210.0,0.0085,25.8,0.6,
358,0.9240,211.0,0.0085,25.8,1.0,
358,0.9325,211.7,0.0085,25.8,0.7,
359,0.9410,212.4,0.0085,25.8,0.7,
360,0.9490,213.2,0.0080,25.8,0.8,
361,0.9570,213.8,0.0080,25.8,0.6,
362,0.9655,214.5,0.0085,25.8,0.7,
364,0.9740,215.2,0.0085,25.8,0.7,
364,0.9825,216.0,0.0085,25.8,0.8,
366,0.9910,216.6,0.0085,25.8,0.6,
366,0.9990,217.2,0.0080,25.8,0.6,
367,1.0070,217.8,0.0080,25.8,0.6,
368,1.0155,218.3,0.0085,25.8,0.5,
370,1.0240,219.0,0.0085,25.8,0.7,
370,1.0325,219.5,0.0085,25.8,0.5,
372,1.0410,220.0,0.0085,25.8,0.5,
372,1.0490,220.5,0.0080,25.8,0.5,
373,1.0575,221.1,0.0085,25.8,0.6,
374,1.0655,221.5,0.0080,25.8,0.4,
376,1.0740,222.0,0.0085,25.8,0.5,
376,1.0825,222.5,0.0085,25.8,0.5,
378,1.0910,223.1,0.0085,25.8,0.6,
378,1.0995,223.5,0.0085,25.8,0.4,
379,1.1075,224.0,0.0080,25.8,0.5,
380,1.1155,224.5,0.0080,25.8,0.5,
382,1.1240,224.9,0.0085,25.8,0.4,
382,1.1325,225.4,0.0085,25.8,0.5,
384,1.1410,225.9,0.0085,25.8,0.5,
384,1.1495,226.3,0.0085,25.8,0.4,
385,1.1570,226.8,0.0075,25.8,0.5,
386,1.1655,227.2,0.0085,25.8,0.4,
387,1.1740,227.5,0.0085,25.8,0.3,
388,1.1825,228.0,0.0085,25.8,0.5,
390,1.1910,228.3,0.0085,25.8,0.3,
390,1.1995,228.7,0.0085,25.8,0.4,
391,1.2080,229.1,0.0085,25.8,0.4,
392,1.2155,229.4,0.0075,25.8,0.3,
394,1.2240,229.8,0.0085,25.7,0.4,
394,1.2325,230.1,0.0085,25.7,0.3,
396,1.2410,230.5,0.0085,25.8,0.4,
396,1.2495,231.0,0.0085,25.8,0.5,
398,1.2580,231.3,0.0085,25.8,0.3,
398,1.2655,231.7,0.0075,25.8,0.4,
