Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/9",,,,
Measured Values,,"Scope 1/1, Sample 1/9",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-54.0,,26.3,,
1,0.0010,-54.5,0.0010,26.3,-0.5,
2,0.0025,-54.6,0.0015,26.3,-0.1,
3,0.0050,-54.8,0.0025,26.3,-0.2,
4,0.0085,-54.8,0.0035,26.3,0.0,
5,0.0145,-54.7,0.0060,26.3,0.1,
6,0.0230,-54.4,0.0085,26.3,0.3,
7,0.0310,-54.0,0.0080,26.3,0.4,
8,0.0390,-53.5,0.0080,26.3,0.5,
9,0.0475,-52.9,0.0085,26.3,0.6,
10,0.0560,-52.2,0.0085,26.3,0.7,
11,0.0645,-51.5,0.0085,26.3,0.7,
12,0.0730,-50.8,0.0085,26.3,0.7,
13,0.0810,-49.9,0.0080,26.3,0.9,
14,0.0895,-49.0,0.0085,26.3,0.9,
15,0.0975,-48.1,0.0080,26.3,0.9,
16,0.1060,-47.1,0.0085,26.3,1.0,
17,0.1145,-46.1,0.0085,26.3,1.0,
18,0.1225,-45.0,0.0080,26.3,1.1,
19,0.1310,-43.8,0.0085,26.3,1.2,
20,0.1395,-42.5,0.0085,26.3,1.3,
21,0.1480,-41.3,0.0085,26.3,1.2,
22,0.1560,-40.1,0.0080,26.3,1.2,
23,0.1640,-38.8,0.0080,26.3,1.3,
24,0.1725,-37.3,0.0085,26.3,1.5,
25,0.1810,-35.6,0.0085,26.3,1.7,
26,0.1895,-33.9,0.0085,26.3,1.7,
27,0.1980,-32.1,0.0085,26.3,1.8,
28,0.2060,-30.3,0.0080,26.3,1.8,
29,0.2140,-28.4,0.0080,26.3,1.9,
30,0.2225,-26.3,0.0085,26.3,2.1,
31,0.2310,-23.9,0.0085,26.3,2.4,
32,0.2395,-21.7,0.0085,26.2,2.2,
33,0.2480,-19.1,0.0085,26.3,2.6,
34,0.2565,-16.2,0.0085,26.3,2.9,
35,0.2640,-13.7,0.0075,26.3,2.5,
36,0.2725,-10.9,0.0085,26.3,2.8,
37,0.2810,-8.4,0.0085,26.3,2.5,
38,0.2895,-6.0,0.0085,26.3,2.4,
39,0.2980,-2.7,0.0085,26.3,3.3,
40,0.3065,-0.5,0.0085,26.2,2.2,
41,0.3140,-0.1,0.0075,26.3,0.4,
42,0.3225,2.5,0.0085,26.2,2.6,
43,0.3310,3.9,0.0085,26.2,1.4,
44,0.3395,5.2,0.0085,26.2,1.3,
45,0.3480,6.3,0.0085,26.2,1.1,
46,0.3565,8.2,0.0085,26.2,1.9,
47,0.3650,10.0,0.0085,26.3,1.8,
48,0.3725,11.4,0.0075,26.3,1.4,
49,0.3810,12.7,0.0085,26.2,1.3,
50,0.3895,14.1,0.0085,26.2,1.4,
51,0.3980,15.3,0.0085,26.2,1.2,
52,0.4065,16.5,0.0085,26.2,1.2,
53,0.4150,17.6,0.0085,26.2,1.1,
54,0.4235,18.5,0.0085,26.2,0.9,
55,0.4310,19.5,0.0075,26.2,1.0,
56,0.4395,20.6,0.0085,26.2,1.1,
57,0.4480,21.9,0.0085,26.2,1.3,
58,0.4565,22.9,0.0085,26.2,1.0,
59,0.4650,23.8,0.0085,26.2,0.9,
60,0.4735,24.8,0.0085,26.2,1.0,
61,0.4810,25.6,0.0075,26.2,0.8,
62,0.4895,26.5,0.0085,26.2,0.9,
63,0.4980,27.7,0.0085,26.2,1.2,
64,0.5065,28.6,0.0085,26.2,0.9,
65,0.5150,29.6,0.0085,26.2,1.0,
66,0.5235,30.5,0.0085,26.2,0.9,
67,0.5320,31.6,0.0085,26.2,1.1,
68,0.5395,32.5,0.0075,26.2,0.9,
69,0.5480,33.3,0.0085,26.2,0.8,
70,0.5565,34.3,0.0085,26.2,1.0,
71,0.5650,35.0,0.0085,26.2,0.7,
72,0.5735,36.0,0.0085,26.2,1.0,
73,0.5820,36.8,0.0085,26.2,0.8,
74,0.5900,37.6,0.0080,26.2,0.8,
75,0.5980,38.3,0.0080,26.2,0.7,
76,0.6065,39.2,0.0085,26.2,0.9,
77,0.6150,40.2,0.0085,26.2,1.0,
78,0.6235,41.1,0.0085,26.2,0.9,
79,0.6315,41.9,0.0080,26.2,0.8,
80,0.6400,42.7,0.0085,26.2,0.8,
81,0.6485,43.5,0.0085,26.2,0.8,
82,0.6565,44.3,0.0080,26.2,0.8,
83,0.6645,45.1,0.0080,26.2,0.8,
84,0.6730,45.9,0.0085,26.2,0.8,
85,0.6815,46.7,0.0085,26.2,0.8,
86,0.6900,47.6,0.0085,26.2,0.9,
87,0.6985,48.7,0.0085,26.2,1.1,
88,0.7065,49.2,0.0080,26.2,0.5,
89,0.7145,50.1,0.0080,26.2,0.9,
90,0.7230,50.7,0.0085,26.2,0.6,
91,0.7315,51.5,0.0085,26.2,0.8,
92,0.7400,52.3,0.0085,26.2,0.8,
93,0.7485,53.2,0.0085,26.2,0.9,
94,0.7570,53.9,0.0085,26.2,0.7,
95,0.7645,54.7,0.0075,26.2,0.8,
96,0.7730,55.5,0.0085,26.2,0.8,
97,0.7815,56.5,0.0085,26.2,1.0,
98,0.7900,57.2,0.0085,26.2,0.7,
99,0.7985,58.3,0.0085,26.2,1.1,
100,0.8070,59.1,0.0085,26.2,0.8,
101,0.8155,59.8,0.0085,26.2,0.7,
102,0.8230,60.6,0.0075,26.2,0.8,
103,0.8315,61.8,0.0085,26.2,1.2,
104,0.8400,63.0,0.0085,26.2,1.2,
105,0.8485,63.4,0.0085,26.2,0.4,
106,0.8570,64.3,0.0085,26.2,0.9,
107,0.8655,65.1,0.0085,26.2,0.8,
108,0.8730,65.7,0.0075,26.2,0.6,
109,0.8815,66.6,0.0085,26.2,0.9,
110,0.8900,67.4,0.0085,26.2,0.8,
111,0.8985,68.0,0.0085,26.2,0.6,
112,0.9070,69.2,0.0085,26.2,1.2,
113,0.9155,69.8,0.0085,26.2,0.6,
114,0.9240,71.1,0.0085,26.2,1.3,
115,0.9315,71.7,0.0075,26.2,0.6,
116,0.9400,72.0,0.0085,26.2,0.3,
117,0.9485,72.8,0.0085,26.2,0.8,
118,0.9570,73.8,0.0085,26.2,1.0,
119,0.9655,75.2,0.0085,26.2,1.4,
120,0.9740,76.5,0.0085,26.2,1.3,
121,0.9815,77.4,0.0075,26.2,0.9,
122,0.9900,78.3,0.0085,26.2,0.9,
123,0.9985,79.4,0.0085,26.1,1.1,
124,1.0070,80.3,0.0085,26.1,0.9,
125,1.0155,81.4,0.0085,26.2,1.1,
126,1.0240,82.2,0.0085,26.1,0.8,
127,1.0325,82.8,0.0085,26.1,0.6,
128,1.0400,84.1,0.0075,26.1,1.3,
129,1.0485,85.0,0.0085,26.1,0.9,
130,1.0570,86.1,0.0085,26.1,1.1,
131,1.0655,88.3,0.0085,26.1,2.2,
132,1.0740,89.1,0.0085,26.1,0.8,
133,1.0825,90.1,0.0085,26.1,1.0,
134,1.0900,90.8,0.0075,26.2,0.7,
135,1.0985,91.9,0.0085,26.1,1.1,
136,1.1070,93.3,0.0085,26.1,1.4,
137,1.1155,94.6,0.0085,26.1,1.3,
138,1.1240,95.3,0.0085,26.1,0.7,
139,1.1325,98.1,0.0085,26.1,2.8,
140,1.1410,99.5,0.0085,26.1,1.4,
141,1.1485,100.7,0.0075,26.1,1.2,
142,1.1570,101.6,0.0085,26.1,0.9,
143,1.1655,103.2,0.0085,26.1,1.6,
144,1.1740,105.2,0.0085,26.1,2.0,
145,1.1825,107.4,0.0085,26.1,2.2,
146,1.1910,108.9,0.0085,26.1,1.5,
147,1.1990,111.3,0.0080,26.1,2.4,
148,1.2070,113.1,0.0080,26.1,1.8,
149,1.2155,115.3,0.0085,26.1,2.2,
150,1.2240,118.2,0.0085,26.1,2.9,
151,1.2325,120.6,0.0085,26.1,2.4,
152,1.2410,124.0,0.0085,26.1,3.4,
153,1.2490,126.1,0.0080,26.1,2.1,
154,1.2570,128.8,0.0080,26.1,2.7,
155,1.2655,132.8,0.0085,26.1,4.0,
156,1.2740,136.3,0.0085,26.1,3.5,
157,1.2825,139.2,0.0085,26.1,2.9,
158,1.2910,142.7,0.0085,26.1,3.5,
159,1.2990,145.0,0.0080,26.1,2.3,
