sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
376	HP252	HP252_S187_L001_R1_001.fastq.gz	2d2e9ce96de2d47d2c3664a635e2ab2d2a459763addf06d80b00cbaadb212916	HP252_S187_L001_R2_001.fastq.gz	271db0f018998d23355c73fb6b68508ab75da6c1ec834e6629b7f9dbfb32e0f0	35730	19908	367	19908	367	0	0	0	0	18869	4	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
273	HP149	HP149_S7_L001_R1_001.fastq.gz	8dc7add89d61fb0aafb3fabb35f72c21d612fbf770f501e1ff83c68c5e7c5ed7	HP149_S7_L001_R2_001.fastq.gz	fddb6cc371ec9892e1db5b85dc4be9319e4442314004696b6ea3fe5cee136334	51264	28202	470	28202	470	0	0	0	0	26863	4	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
266	HP142	HP142_S18_L001_R1_001.fastq.gz	6867ec036073e0d869e5e8c39af0bf532371840fcf53a9dc05e908f31510f30c	HP142_S18_L001_R2_001.fastq.gz	095c5e8867b02ca8859bd8335fa68016a7f16c2543afd9caeaa11b0b97e6416c	69606	33973	547	33973	547	0	0	0	0	32018	4	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
241	HP117	HP117_S3_L001_R1_001.fastq.gz	e2e0368f2aa333e9fb5b0d1381f1da725e8a7fc5167bb8cf37375f53871059e2	HP117_S3_L001_R2_001.fastq.gz	1815a32420227733b990f2c0938f915a9e1f25368ba1b1c3e4a9a6ec8a8468f8	51089	21188	360	21188	360	0	0	0	0	20073	4	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
232	HP108	HP108_S85_L001_R1_001.fastq.gz	16fb3ee5bfa6f5d925da45f91abcb1e8868faece6ed7562ddcbff957216cc54a	HP108_S85_L001_R2_001.fastq.gz	025a07038180b669f79aaf3b17b20a176378062f20f86ab0525623c2b298cafb	46387	26339	455	26339	455	0	0	0	0	24927	4	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180906.0	NoData
227	HP103	HP103_S25_L001_R1_001.fastq.gz	ff4cec557ec413793cc4e892947db6057e182d372034d834afe9e98a54a941b8	HP103_S25_L001_R2_001.fastq.gz	3eec297d1ed6828b9fe8e31ee73b6089a8856b9b7ca83afe1cb9a19840aaec9d	55885	28288	491	28288	491	0	0	0	0	26826	4	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
279	HP155	HP155_S79_L001_R1_001.fastq.gz	4e74de2d465666d0e3ed241278b3c4b25afc9d1b8e39f6aef3cf8267dec194b2	HP155_S79_L001_R2_001.fastq.gz	a89ac3107226e1c54cb4e7a44056cb278250599a0b79105d92591e25b8360c0d	80216	46037	680	46037	680	0	0	0	0	43605	5	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
275	HP151	HP151_S31_L001_R1_001.fastq.gz	29fb06add19a9efddf8334d632ffce57640befb6a84acac311be07a6344c5ade	HP151_S31_L001_R2_001.fastq.gz	450cecbad7367f3b18a2ad5d75ff62c1ccf180a7337dc297b5639187365912d6	41544	23021	402	23021	402	0	0	0	0	21857	5	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
340	HP216	HP216_S135_L001_R1_001.fastq.gz	87243944d88ad6023d28e103fd9f8e729bf60e6cd807d7574bdcb453d60700fe	HP216_S135_L001_R2_001.fastq.gz	a79484f9e3e1ea431ee318418b369547abe93d66b6a5fff7706c05c04e1c4fab	15385	6539	158	6539	158	0	0	0	0	6289	5	0	0	32	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
270	HP146	HP146_S66_L001_R1_001.fastq.gz	65a7e6d556c577a6b0c6d31a74df289f76e83f54db62fce7b9270380cd558427	HP146_S66_L001_R2_001.fastq.gz	bf902386d7893cfe805b8219cc884d7365cbeeab4c8d81437170affaa7b2659c	60503	33236	534	33236	534	0	0	0	0	31483	5	0	0	163	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
