Well,630,663,750
A1,0.027,0.027,0.027
B1,0.165,0.523,0.029
C1,0.121,0.36,0.028
D1,0.05,0.115,0.027
E1,0.096,0.283,0.028
F1,0.081,0.241,0.029
G1,0.103,0.328,0.028
H1,0.169,0.565,0.028
A2,0.027,0.027,0.027
B2,0.172,0.542,0.029
C2,0.128,0.389,0.028
D2,0.052,0.121,0.028
E2,0.101,0.3,0.028
F2,0.088,0.251,0.028
G2,0.108,0.347,0.028
H2,0.178,0.598,0.028
A3,0.121,0.39,0.029
B3,0.111,0.33,0.029
C3,0.473,1.659,0.033
D3,0.065,0.167,0.028
E3,0.081,0.245,0.028
F3,0.051,0.109,0.028
G3,0.15,0.52,0.029
H3,0.103,0.342,0.028
A4,0.129,0.423,0.029
B4,0.117,0.351,0.029
C4,0.51,1.783,0.033
D4,0.068,0.175,0.028
E4,0.087,0.267,0.029
F4,0.053,0.117,0.028
G4,0.157,0.546,0.028
H4,0.11,0.368,0.028
A5,0.066,0.168,0.029
B5,0.064,0.162,0.028
C5,0.086,0.261,0.029
D5,0.127,0.406,0.029
E5,0.097,0.315,0.028
F5,0.062,0.173,0.028
G5,0.079,0.222,0.029
H5,0.084,0.241,0.028
A6,0.069,0.18,0.03
B6,0.066,0.168,0.029
C6,0.091,0.283,0.029
D6,0.132,0.43,0.031
E6,0.104,0.341,0.028
F6,0.064,0.182,0.028
G6,0.081,0.234,0.028
H6,0.097,0.288,0.029
A7,0.273,0.953,0.029
B7,0.072,0.194,0.028
C7,0.081,0.223,0.028
D7,0.077,0.214,0.029
E7,0.06,0.148,0.029
F7,0.125,0.395,0.029
G7,0.067,0.171,0.03
H7,0.063,0.179,0.027
A8,0.291,1.016,0.03
B8,0.08,0.222,0.028
C8,0.094,0.242,0.033
D8,0.089,0.269,0.029
E8,0.059,0.155,0.028
F8,0.133,0.419,0.028
G8,0.069,0.179,0.028
H8,0.066,0.191,0.028
A9,0.11,0.346,0.029
B9,0.156,0.486,0.029
C9,0.067,0.18,0.028
D9,0.12,0.374,0.029
E9,0.055,0.14,0.028
F9,0.065,0.179,0.028
G9,0.066,0.18,0.027
H9,0.065,0.19,0.028
A10,0.115,0.37,0.029
B10,0.173,0.547,0.029
C10,0.07,0.192,0.028
D10,0.127,0.402,0.029
E10,0.056,0.148,0.028
F10,0.067,0.185,0.028
G10,0.069,0.19,0.028
H10,0.068,0.203,0.029
A11,0.067,0.192,0.028
B11,0.087,0.27,0.028
C11,0.064,0.172,0.028
D11,0.138,0.433,0.03
E11,0.067,0.191,0.028
F11,0.068,0.178,0.028
G11,0.122,0.381,0.028
H11,0.081,0.241,0.028
A12,0.07,0.204,0.028
B12,0.093,0.289,0.029
C12,0.068,0.181,0.029
D12,0.142,0.453,0.028
E12,0.069,0.197,0.028
F12,0.07,0.185,0.028
G12,0.134,0.4,0.028
H12,0.084,0.254,0.028
