PLUG.ID,Species,Tank,Temperature,CO2,Treatment,Analysis,Date,Date.Format,TimePoint,Mass.g,Temp.C
1049,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.375,23.23
1052,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,4.831,23.23
1053,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.324,23.25
1055,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.22,23.24
1057,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.84,23.26
1063,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.094,23.26
1064,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.756,23.26
1076,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,4.033,23.26
1081,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.499,23.23
1102,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,1.745,23.27
1106,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.09,23.25
1115,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.239,23.25
1119,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.261,23.23
1120,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.244,23.21
1123,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.169,23.23
1210,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.471,23.24
1424,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,4.458,24.05
1433,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.021,24.04
1448,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,4.848,24.03
1452,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,4.346,24.03
1460,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.587,24.03
1475,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.62,24.04
1489,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,1.578,24.04
1532,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.666,24.04
1540,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.58,24.04
1543,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.954,24.07
1546,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.73,24.05
1555,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.029,24.05
1591,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.27,24.06
1616,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.64,24.05
1644,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,5.117,24.06
1649,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,1.732,24.06
1654,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.25,24.06
1680,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.222,24.07
1769,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,1.361,24.07
2301,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,5.827,24.06
2302,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.509,24.04
2308,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.083,24.03
2309,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,3.63,24.04
2398,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,2.902,24.06
2403,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181213,12/13/18,Time6_Fin,4.32,24.08
1142,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181213,12/13/18,Time6_Fin,2.623,23.3
1154,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181213,12/13/18,Time6_Fin,2.409,23.3
1155,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181213,12/13/18,Time6_Fin,3.006,23.33
1183,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181213,12/13/18,Time6_Fin,4.245,23.31
1186,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181213,12/13/18,Time6_Fin,3.158,23.33
1208,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181213,12/13/18,Time6_Fin,2.457,23.31
