Well,Plug_ID
A1,2075
A2,2075
A3,1412
A4,1412
A5,1181
A6,1181
A7,1338
A8,1338
A9,2729
A10,2729
A11,1756
A12,1756
B1,1253
B2,1253
B3,1695
B4,1695
B5,2376
B6,2376
B7,1470
B8,1470
B9,1048
B10,1048
B11,1620
B12,1620
C1,1294
C2,1294
C3,1100
C4,1100
C5,1599
C6,1599
C7,2535
C8,2535
C9,1639
C10,1639
C11,1413
C12,1413
D1,1690
D2,1690
D3,1630
D4,1630
D5,2541
D6,2541
D7,1174
D8,1174
D9,1547
D10,1547
D11,1300
D12,1300
E1,1738
E2,1738
E3,1214
E4,1214
E5,1723
E6,1723
E7,1297
E8,1297
E9,2728
E10,2728
E11,2014
E12,2014
F1,1042
F2,1042
F3,1484
F4,1484
F5,1495
F6,1495
F7,1233
F8,1233
F9,1180
F10,1180
F11,1537
F12,1537
G1,1778
G2,1778
G3,1226
G4,1226
G5,1187
G6,1187
G7,1098
G8,1098
G9,1311
G10,1311
G11,1770
G12,1770
H1,1249
H2,1249
H3,2058
H4,2058
H5,1213
H6,1213
H7,2023
H8,2023
H9,1731
H10,1731
H11,1772
H12,1772
